,imdb_id,title,mpaa_rating,runtime,genre,star_rating
7962,tt10485396,Anak Muda Palsu,NaN,103 min,Comedy,8.8
7963,tt1629376,7 Khoon Maaf,Not Rated,137 min,"Drama, Mystery, Thriller",6.1
7964,tt1712159,11-11-11,PG-13,90 min,"Horror, Mystery, Thriller",3.9
7965,tt1667823,Bhindi Baazaar,NaN,157 min,"Crime, Drama, Thriller",6.1
7966,tt1981080,Tai ji 1: Cong ling kai shi,PG-13,98 min,"Action, Adventure, Drama",6.1
7967,tt4310022,Boy Genius,NaN,94 min,Comedy,4.5
7968,tt3745058,Weightless,R,93 min,Drama,6.1
7969,tt3225318,Wolf Mother,Not Rated,117 min,"Crime, Thriller",4.5
7970,tt5806792,Gu jian qi tan zhi liu yue zhao ming,NaN,105 min,"Action, Fantasy",5.5
7971,tt9239882,Mr. KK,Not Rated,121 min,"Action, Thriller",5.7
7972,tt3544218,Belgica,NaN,127 min,Drama,6.7
7973,tt3185772,Onaayum Aattukkuttiyum,Not Rated,141 min,"Crime, Mystery, Thriller",8.2
7974,tt6353976,Please Come With Me,NaN,92 min,"Drama, Romance",4.3
7975,tt1899285,Day of the Siege,R,114 min,"Adventure, Drama, History",4.2
7976,tt6183834,Carbone,NaN,104 min,"Crime, Thriller",6.6
7977,tt3054798,Memories of the Sword,Not Rated,120 min,"Action, Drama, History",6.3
7978,tt4746102,The Scent of Rain & Lightning,R,100 min,"Drama, Mystery, Western",5.0
7979,tt5707754,Los adioses,NaN,85 min,Drama,7.0
7980,tt6720618,Ramen Shop,NaN,89 min,Drama,6.7
7981,tt4480398,Attack of the Killer Donuts,Not Rated,85 min,"Action, Comedy, Horror",3.7
7982,tt1555440,Girltrash: All Night Long,Not Rated,86 min,"Comedy, Crime, Drama",6.4
7983,tt9149946,Bernie the Dolphin 2,G,99 min,"Action, Comedy, Family",7.0
7984,tt3222852,Victor,PG-13,105 min,"Biography, Crime, Drama",6.7
7985,tt4048050,Trois souvenirs de ma jeunesse,R,123 min,"Drama, Romance",6.8
7986,tt8917752,Joy,TV-MA,99 min,Drama,6.6
7987,tt2081374,Better Off Single,Not Rated,85 min,Comedy,4.2
7988,tt6384386,Fanney Khan,Not Rated,130 min,"Comedy, Drama, Music",4.4
7989,tt3901944,Country Crush,Not Rated,96 min,"Drama, Family, Music",4.7
7990,tt4385944,My Soul to Keep,NaN,90 min,Horror,4.9
7991,tt1790834,Simon Killer,Not Rated,101 min,"Drama, Thriller",6.3
7992,tt3350890,Starve,NaN,98 min,"Horror, Thriller",4.6
7993,tt5126792,Die Wilden Kerle 6 - Die Legende lebt,NaN,96 min,"Action, Adventure, Family",4.0
7994,tt1235830,Chico & Rita,Not Rated,94 min,"Animation, Crime, Drama",7.2
7995,tt6980546,Bharath Ane Nenu,Not Rated,173 min,"Action, Drama",7.7
7996,tt8419052,100% Coco New York,NaN,82 min,Comedy,6.4
7997,tt3828796,2 yötä aamuun,NaN,84 min,"Drama, Romance",6.1
7998,tt3877590,Being,NaN,NaN,"Drama, Sci-Fi",4.6
7999,tt4895740,Abluka,NaN,119 min,Drama,7.3
8000,tt3732950,Body,Not Rated,75 min,"Crime, Drama, Thriller",5.2
8001,tt8553192,La grande noirceur,NaN,95 min,"Drama, History",7.1
8002,tt2272918,Flying Home,Not Rated,95 min,"Drama, Romance",6.1
8003,tt4357368,Asphalte,Not Rated,100 min,"Comedy, Drama",7.1
8004,tt1788383,House of the Rising Sun,R,90 min,"Action, Crime, Drama",4.4
8005,tt8406744,Intemperie,NaN,103 min,Thriller,6.9
8006,tt6330052,Gauguin: Voyage to Tahiti,NaN,102 min,"Biography, Drama, Romance",5.9
8007,tt1130969,Sinners and Saints,R,104 min,"Action, Crime, Thriller",6.1
8008,tt1303803,Standing Ovation,PG,105 min,Musical,3.2
8009,tt9614994,Rabb Da Radio 2,NaN,129 min,Drama,7.2
8010,tt3461828,Cat Run 2,R,96 min,"Action, Comedy",4.4
8011,tt6104058,I'm a Killer,NaN,117 min,"Crime, Drama, Thriller",7.0
8012,tt1920945,Good Vibrations,Not Rated,103 min,"Biography, Drama, Music",7.2
8013,tt1934205,Ce que le jour doit à la nuit,NaN,162 min,"Drama, Romance",7.8
8014,tt1978532,Someone Marry Barry,Not Rated,87 min,Comedy,5.8
8015,tt2168180,Nise: The Heart of Madness,Not Rated,106 min,"Biography, Drama, History",7.7
8016,tt8320406,Boy Undone,Unrated,116 min,"Drama, Thriller",4.6
8017,tt5325684,Hate Story IV,Not Rated,131 min,"Crime, Drama, Thriller",3.3
8018,tt2818654,Cemetery of Splendor,Unrated,122 min,"Drama, Fantasy",6.8
8019,tt2689354,Call Girl of Cthulhu,Not Rated,92 min,"Comedy, Horror",4.6
8020,tt2077851,Sleepwalk with Me,PG-13,81 min,Comedy,6.8
8021,tt4082524,Chosen,R,105 min,"Drama, War",5.1
8022,tt9501310,Meitantei Conan: Konjo no fisuto,NaN,109 min,"Animation, Action, Adventure",6.2
8023,tt5658242,Humor Me,NaN,93 min,Comedy,5.9
8024,tt2481496,Mercy,R,79 min,"Horror, Thriller",5.0
8025,tt1840388,Rosewood Lane,R,97 min,"Horror, Thriller",4.6
8026,tt3008014,Gwansang,PG-13,140 min,"Drama, History",6.8
8027,tt6249434,Shelter,NaN,93 min,"Drama, Thriller",5.6
8028,tt3709678,Haganenet,Not Rated,119 min,Drama,6.6
8029,tt1727300,Hunky Dory,Not Rated,110 min,"Comedy, Drama, Music",6.2
8030,tt4503906,Pokémon the Movie: Hoopa and the Clash of Ages,TV-Y7,79 min,"Animation, Action, Adventure",6.0
8031,tt3840898,The Tempest,NaN,169 min,"Comedy, Drama",8.4
8032,tt4292432,Kuessipan,NaN,117 min,Drama,7.6
8033,tt6054758,Kirik Party,Not Rated,159 min,"Comedy, Drama",8.4
8034,tt3652616,Escape from Ensenada,TV-MA,83 min,"Action, Adventure, Comedy",5.4
8035,tt1764366,Hollywood Sex Wars,Not Rated,96 min,Comedy,5.8
8036,tt1572311,Tees Maar Khan,Not Rated,135 min,"Comedy, Crime",2.5
8037,tt1743993,When the Lights Went Out,NaN,86 min,Horror,5.3
8038,tt2534634,The Fencer,NaN,99 min,"Biography, Drama, History",7.1
8039,tt1714833,Drift,R,113 min,"Biography, Drama, Sport",6.3
8040,tt3228088,Spark: A Space Tail,PG,91 min,"Animation, Action, Adventure",4.5
8041,tt6603378,Dragon Kingdom,NaN,85 min,"Adventure, Sci-Fi",3.2
8042,tt3679000,Any Body Can Dance 2,Not Rated,154 min,"Biography, Drama, Music",5.4
8043,tt2309987,Hate Story,Not Rated,140 min,"Drama, Thriller",5.3
8044,tt1433810,Dhobi Ghat,TV-14,100 min,Drama,7.0
8045,tt10756374,A Night of Horror: Nightmare Radio,NaN,100 min,Horror,7.4
8046,tt7990992,The Plagiarists,NaN,76 min,Drama,5.9
8047,tt6265988,Bhoomi,Not Rated,136 min,"Action, Drama",5.3
8048,tt3569356,Not Cool,Not Rated,93 min,"Comedy, Drama, Romance",4.3
8049,tt10204366,Trois jours et une vie,NaN,120 min,"Drama, Thriller",6.5
8050,tt4030442,From the Dark,Unrated,90 min,"Horror, Thriller",4.8
8051,tt1590941,18+,NaN,NaN,Drama,6.9
8052,tt2155399,Variações: Guardian Angel,NaN,109 min,"Biography, Drama, Music",7.4
8053,tt6467738,Irada,NaN,109 min,"Drama, Mystery, Thriller",6.2
8054,tt6073014,Aga's House,NaN,107 min,"Comedy, Drama",9.0
8055,tt3292080,The Journey Is the Destination,R,123 min,Drama,6.3
8056,tt3145220,Hits,NaN,96 min,"Comedy, Drama",5.8
8057,tt6502956,Yucatán,TV-MA,129 min,Comedy,5.4
8058,tt1895484,Model Minority,Not Rated,94 min,Drama,7.7
8059,tt4064498,"Wo willst du hin, Habibi?",NaN,79 min,"Comedy, Drama, Romance",6.2
